node	name	taxa_level	n_descendants	prop_descendants_w_name	other_names	other_props	full_taxonomy	full_taxonomy_levels	habitat	habitat_probability	cellularity	cellularity_probability	genes_present	genes_gained	domains_present	domains_gained	KEGG_pathways_present	KEGG_pathways_gained	Reactome_pathways_present	Reactome_pathways_gained	nodes_in_results
542	Stenosarchaea group	clade	7	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group	no rank, superkingdom, kingdom, phylum, clade	NA	NA	NA	NA	782	22	1057	23	22.459515906405002	0.24248062793216485	64.05230293249711	0.4196776755184339	n
543	Methanomicrobia	class	2	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Methanomicrobia	no rank, superkingdom, kingdom, phylum, clade, class	NA	NA	NA	NA	971	198	1127	86	23.141660913001544	0.76714714609162	64.46545452853746	0.9080704930747066	n
544	Stenosarchaea group	clade	5	1	Halobacteria, Halobacteriales	0.8, 0.8	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group	no rank, superkingdom, kingdom, phylum, clade	NA	NA	NA	NA	914	140	1148	99	24.67697267061728	2.274194352864756	64.59147837848452	0.8197725888509504	n
545	Halobacteriales	order	4	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Halobacteria, Halobacteriales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1529	829	1323	307	31.738782711550126	7.646124391362349	70.78007890633258	7.852609370855567	y
546	Halobacteriales	order	3	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Halobacteria, Halobacteriales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1595	86	1311	17	31.517017538577083	0.3986229076762465	70.71827858962737	0.034242594657647944	n
547	Halobacteriales	order	2	1	NA	NA	cellular organisms, Archaea, Methanobacteriati, Methanobacteriota, Stenosarchaea group, Halobacteria, Halobacteriales	no rank, superkingdom, kingdom, phylum, clade, class, order	NA	NA	NA	NA	1966	393	1413	120	33.26594050201271	1.9562382103390465	72.58887645472343	2.83133676084359	n
548	Eukaryota	superkingdom	199	1	NA	NA	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	1	Unicellular	1	1752	1555	2171	1381	5.75857071003299	NA	168.43337073516057	104.16316694099056	y
549	Eukaryota	superkingdom	17	1	Eukaryota, Sar	1, 0.9375	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	0.96	Unicellular	0.98	2467	716	2530	371	3.8124168685021367	NA	196.2235345558858	37.245978817967845	n
550	Eukaryota	superkingdom	16	1	Eukaryota, Sar	1, 0.933333333333333	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	0.96	Unicellular	0.95	2640	178	2612	93	3.8124168685021367	NA	204.78833394844992	15.28616141563743	n
551	Eukaryota	superkingdom	6	1	Eukaryota	1	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	0.96	Unicellular	0.43	3167	543	2897	299	3.8124168685021367	NA	236.97763584439443	32.45827860131982	n
